Entity1|Entity2
101956|140313
9805|186555
82780|159036
20869|54683
50944|179951
13813|116048
63639|174852
60885|141295
45610|98356
139146|199326
13883|110214
86803|87259
74251|80516
457|176008
108440|126451
129830|186126
129889|181215
61460|93589
70234|151787
83537|96162
17801|47207
73463|145878
79453|172991
54450|151121
120421|180628
11192|71449
64698|86968
86118|144080
7225|138597
82694|166152
58538|73981
23652|85837
16862|125128
136006|197752
108065|157601
142982|143030
70566|124142
104921|156434
70013|170033
89287|143191
133218|167127
95186|177850
91915|187198
68082|68142
95777|128789
139703|153142
129728|194603
1217|113007
117839|132865
148894|176652
51560|128779
127073|152817
92363|149999
32356|149884
29745|104449
1066|125548
158487|166862
14605|50405
71084|81168
45633|96475
30584|34835
41416|184339
130193|156026
167835|177421
29632|113854
105475|110503
76553|151497
45008|148348
50931|181012
180258|194859
60476|175190
107643|192693
8034|71500
139676|155351
86193|137804
49289|55286
105326|122625
35409|158736
41335|191174
70666|116034
42125|125607
23298|115364
41724|158878
142860|153073
25607|185862
92536|135855
4132|133262
82647|170219
39610|72186
70080|164650
38210|188382
17103|105220
26307|127780
70529|127379
7294|132958
76118|187832
76017|196215
11471|48437
121045|128720
16615|145786
111472|136840
3706|168627
155440|157557
63760|164970
2474|8750
99187|107911
1591|82049
92660|125519
83506|98886
48418|127637
36844|39591
96149|98066
19801|143463
23151|127553
189673|199776
130127|161389
13319|157240
39394|90199
48702|103953
44497|190933
130407|138145
51626|123405
13765|120198
64105|136218
19329|182682
145642|184367
17482|73836
64226|126176
72930|190220
167771|182570
42041|132628
152326|153799
3912|151582
186571|195071
38419|171085
11244|67345
77315|88360
48946|83729
29804|99691
39262|101114
23283|116642
42002|135838
60674|158904
17565|66991
19678|153753
36615|58682
39894|48644
55558|59243
73905|109266
1874|58622
86194|137842
114321|162570
20108|118052
41968|138644
27213|52610
38844|135798
83582|92722
170873|187706
5375|30196
70041|168027
45348|120357
45760|86161
905|139082
63952|149109
38493|165022
19347|181255
47797|179271
158507|165508
51869|103447
57929|124744
89367|136832
1947|52614
101837|150480
3863|155735
54897|114283
73616|133430
95694|135984
20497|85845
24228|38272
60683|158348
19543|165020
8376|43290
73273|161907
76551|151974
4065|138982
73685|127714
129763|191905
21240|24167
19722|150155
82388|191806
10887|97026
22719|163530
16522|153618
4402|111003
74153|88878
77346|86008
101709|161128
94969|196141
9910|178123
17877|41142
38174|191472
111201|159709
69724|194352
124144|134000
111458|138412
136122|188484
130377|141024
139350|182704
22803|156641
91930|186213
33116|87092
58491|78046
107681|189768
95166|179761
105199|133635
2442|11583
4115|134856
88794|184353
120837|146370
67934|80683
70351|142214
8396|41680
24095|49427
23597|90698
74083|94600
105126|139704
42169|122112
67991|76008
48458|124361
8651|20538
66741|179746
76344|169094
13270|161470
120634|163267
17265|92018
142878|151998
80556|81653
9771|189713
17908|38638
57472|162655
66833|172105
70716|111958
64396|112223
29576|118759
64634|92481
73130|173725
9824|185324
108586|114682
139841|141913
23570|92970
120205|198662
1690|74040
107710|187156
25949|157727
73454|147036
395|181523
5059|56567
17184|98769
16790|131473
83550|95496
67839|88778
114401|156105
63930|151086
32710|120850
70299|146733
99220|105399
77284|91304
36780|45189
155273|171655
58065|113588
34972|195255
51406|142006
73941|106638
48359|132761
12969|186465
16120|187127
120903|140759
77010|114007
55206|88753
10995|88214
158551|161742
23764|76918
874|141825
142904|149628
24198|40907
20518|84208
33182|81657
11500|46284
152002|180930
36691|52651
129716|195760
123511|186485
33117|87131
123888|155199
105350|120967
139259|190116
8088|67382
14034|98129
26399|120459
38986|124298
54976|107773
70098|163347
22745|161595
7552|111861
108328|135933
301|189417
196029|196737
23954|61256
3903|152587
30249|62999
54137|177419
39299|98307
23903|65444
17105|105415
127283|135534
83523|97671
164726|173439
148802|184431
23045|136662
66532|197218
52467|53908
120748|153667
25680|180105
39439|86668
95552|147811
88936|172893
173913|197798
39480|83375
58060|114124
46066|61034
126597|192815
44650|178553
82324|197388
4535|100176
5197|45231
148684|194634
996|131775
29069|161040
7065|152354
145850|167679
807|147473
47923|169066
47741|184178
61115|122696
117500|161391
63854|157510
61009|131498
142928|148041
7663|102739
67208|141317
38479|166420
2190|32707
77116|105337
20334|99629
63794|162531
1471|92382
180248|196255
33672|41100
136736|137665
52308|67287
142338|197002
21192|28398
136385|166807
13666|128772
117308|177363
67229|139476
158420|172916
58250|98283
3522|184327
16923|120636
46188|50965
67632|106030
57572|154560
70597|122070
76427|162492
29221|148484
45172|135291
89806|100630
45896|75193
49172|65331
142763|161830
54926|112030
76938|120078
8119|64937
49212|62017
33204|80062
164641|180849
105028|148069
23830|71674
167571|199805
38457|168314
10878|98105
6826|172274
13399|151011
29090|159334
10364|140772
114799|123549
117957|123575
8600|25020
155390|162286
73593|135541
69824|186253
17770|50349
107821|178441
10633|118426
10875|98342
45933|72085
80140|116430
51594|126498
105205|133413
26959|74077
126806|175514
126690|185142
51881|102810
89832|98654
167661|192292
7537|113292
17613|63428
44800|166240
136285|175022
