id|http://www.okkam.org/ontology_restaurant2.owl#name|http://www.okkam.org/ontology_restaurant2.owl#phone_number|http://www.okkam.org/ontology_restaurant2.owl#street|aggregate value
0|second avenue deli|212-677-0606||second avenue deli 212-677-0606
1|asian|||asian
2|||368 bleecker st.|368 bleecker st.
3|||240 central park s.|240 central park s.
4|il mulino|212-673-3783||il mulino 212-673-3783
5|||8764 melrose ave.|8764 melrose ave.
6|louise's trattoria|213/667-0777||louise's trattoria 213/667-0777
7|||2905 buford hwy.|2905 buford hwy.
8|southern/soul|||southern/soul
9|||129 e. fremont st.|129 e. fremont st.
10|venetian|702/876-4190||venetian 702/876-4190
11|mediterranean|||mediterranean
12|mitali east-west|212-989-1367||mitali east-west 212-989-1367
13|remi|310/393-6545||remi 310/393-6545
14|continental|||continental
15|||243 o'farrell st.|243 o'farrell st.
16|barbecue|||barbecue
17|california culinary academy|415/771-3500||california culinary academy 415/771-3500
18|||200 w. 70th st.|200 w. 70th st.
19|french|||french
20|caffe roma|212/226-8413||caffe roma 212/226-8413
21|asian|||asian
22|||150 w. 46th st.|150 w. 46th st.
23|||732 broadway|732 broadway
24|southern|||southern
25|||150 wooster st.  between houston and prince sts.|150 wooster st.  between houston and prince sts.
26|harris'|415/673-1888||harris' 415/673-1888
27|||12224 ventura blvd.|12224 ventura blvd.
28|american (new)|||american (new)
29|corrado cafe|212/753-5100||corrado cafe 212/753-5100
30|asian|||asian
31|kyo-ya. sheraton palace hotel|415/546-5000||kyo-ya. sheraton palace hotel 415/546-5000
32|||181 w. 10th st.|181 w. 10th st.
33|mexican|||mexican
34|f. ille ponte ristorante|212/226-4621||f. ille ponte ristorante 212/226-4621
35|||3148 geary blvd.|3148 geary blvd.
36|yoyo tsumami bistro|415/922-7788||yoyo tsumami bistro 415/922-7788
37|italian|||italian
38|original pancake house (at)|404-237-4116||original pancake house (at) 404-237-4116
39|philippe the original|213-628-3781||philippe the original 213-628-3781
40|italian|||italian
41|french roast|212/533-2233||french roast 212/533-2233
42|||2027 sawtelle blvd.|2027 sawtelle blvd.
43|seafood|||seafood
44|bristol farms market cafe|310-643-5229||bristol farms market cafe 310-643-5229
45|middle eastern|||middle eastern
46|pacific new wave|||pacific new wave
47|health food|||health food
48|||54 irving pl. at 17th st.|54 irving pl. at 17th st.
49|||1716 pch|1716 pch
50|seafood|||seafood
51|la cote basque|212-688-6525||la cote basque 212-688-6525
52|indo cafe|310-815-1290||indo cafe 310-815-1290
53|marquet patisserie|212/229-9313||marquet patisserie 212/229-9313
54|vietnamese|||vietnamese
55|||265 pharr rd.|265 pharr rd.
56|asian|||asian
57|coco loco|404/364-0212||coco loco 404/364-0212
58|||730 n. la cienega blvd.|730 n. la cienega blvd.
59|la salsa (la)|310-456-6299||la salsa (la) 310-456-6299
60|picholine|212-724-8585||picholine 212-724-8585
61|chinese|||chinese
62|||60 e. 54th st.|60 e. 54th st.
63|orso|212/489-7212||orso 212/489-7212
64|||764 ninth ave.|764 ninth ave.
65|||182 w. 58th st.|182 w. 58th st.
66|hamburgers|||hamburgers
67|ej's luncheonette|212-473-5555||ej's luncheonette 212-473-5555
68|||923 peachtree st.  at 8th st.|923 peachtree st.  at 8th st.
69|seafood|||seafood
70|||9255 sunset blvd.|9255 sunset blvd.
71|jackson's farm|310/273-5578||jackson's farm 310/273-5578
72|||600 ponce de leon ave.|600 ponce de leon ave.
73|virgil's real bbq|212-921-9494||virgil's real bbq 212-921-9494
74|pomaire|212/ 956-3055||pomaire 212/ 956-3055
75|american|||american
76|||86 w. third st.|86 w. third st.
77|la grenouille|212-752-1495||la grenouille 212-752-1495
78|||21 e. 16th st.|21 e. 16th st.
79|east european|||east european
80|eclectic|||eclectic
81|paty's|818/761-9126||paty's 818/761-9126
82|||14928 ventura blvd.|14928 ventura blvd.
83|mediterranean|||mediterranean
84|||3713 w. sahara ave.|3713 w. sahara ave.
85|ciboulette restaurant|404-874-7600||ciboulette restaurant 404-874-7600
86|french|||french
87|||296 bleecker st.|296 bleecker st.
88|||3073 piedmont rd.|3073 piedmont rd.
89|patsy's pizza|718-858-4300||patsy's pizza 718-858-4300
90|italian|||italian
91|||9876 wilshire blvd.|9876 wilshire blvd.
92|tommy tang's|213/937-5733||tommy tang's 213/937-5733
93|french (new)|||french (new)
94|||625 polk st.|625 polk st.
95|italian|||italian
96|garden court|415/546-5011||garden court 415/546-5011
97|||385 broome st. at mulberry|385 broome st. at mulberry
98|thailand restaurant|212-349-3132||thailand restaurant 212-349-3132
99|bbq|||bbq
100|||2100 van ness ave.|2100 van ness ave.
101|asian|||asian
102|izzy's steak & chop house|415/563-0487||izzy's steak & chop house 415/563-0487
103|||1013 3rd ave.  between 60th and 61st sts.|1013 3rd ave.  between 60th and 61st sts.
104|el teddy's|212/941-7070||el teddy's 212/941-7070
105|nickiemoto's: a sushi bar|404/842-0334||nickiemoto's: a sushi bar 404/842-0334
106|american|||american
107|majestic|404-875-0276||majestic 404-875-0276
