id|title|starring|writer|editor|aggregate value
0|The Silver Lining|Gayne Whitman|||The Silver Lining Gayne Whitman
1||Arthur Christopher Orme Plummer|||Arthur Christopher Orme Plummer
2|Kannathil Muthamittal|Nandita Das|Mani Ratnam||Kannathil Muthamittal Nandita Das Mani Ratnam
3|Zeb vs. Paprika|Arthur Stanley Jefferson|Al Giebler||Zeb vs. Paprika Arthur Stanley Jefferson Al Giebler
4|Thinner|Lucinda Jenney|Michael McDowell||Thinner Lucinda Jenney Michael McDowell
5|American Ninja 2: The Confrontation|Michael Dudikoff|Avi Kleinberger||American Ninja 2: The Confrontation Michael Dudikoff Avi Kleinberger
6||Poonam Dhillon|Salim Khan||Poonam Dhillon Salim Khan
7|Slipping Wives|Herbert Rawlinson|Harry Eugene Roach||Slipping Wives Herbert Rawlinson Harry Eugene Roach
8||Madhur Jaffrey|Ruth Prawer Jhabvala||Madhur Jaffrey Ruth Prawer Jhabvala
9||Genelia D'Souza|N. Shankar||Genelia D'Souza N. Shankar
10|Reunion in France|Marion Robert Morrison|Marc Connelly||Reunion in France Marion Robert Morrison Marc Connelly
11|It Happened Here|Reginald Marsh (actor)|Kevin Brownlow Andrew Mollo||It Happened Here Reginald Marsh (actor) Kevin Brownlow Andrew Mollo
12||Kamal Haasan|||Kamal Haasan
13||Tom Laughlin (actor)|Delores Taylor||Tom Laughlin (actor) Delores Taylor
14|Inferno|Daria Nicolodi|Dario Argento||Inferno Daria Nicolodi Dario Argento
15|Lebenszeichen|Wolfgang Reichmann|Werner Herzog||Lebenszeichen Wolfgang Reichmann Werner Herzog
16|The Warrens of Virginia|Sarah Blanche Sweet|William Churchill DeMille||The Warrens of Virginia Sarah Blanche Sweet William Churchill DeMille
17||Robert John Wagner|James Salter||Robert John Wagner James Salter
18|Abbott and Costello Go to Mars|Lou Costello|John Grant (screenwriter)||Abbott and Costello Go to Mars Lou Costello John Grant (screenwriter)
19||Mary William Ethelbert Appleton Burke|Florence Ryerson||Mary William Ethelbert Appleton Burke Florence Ryerson
20|The Sixth Man|Kadeem Hardison|Christopher Reed||The Sixth Man Kadeem Hardison Christopher Reed
21|Academy Award for Documentary Feature||||Academy Award for Documentary Feature
22|Que la barque se brise, que la jonque s'entrouvre|Vantha Talisman u00C9ric Nguyen|Rithy Panh||Que la barque se brise, que la jonque s'entrouvre Vantha Talisman u00C9ric Nguyen Rithy Panh
23||Terrance Quinn|Ron Nyswaner||Terrance Quinn Ron Nyswaner
24|Evil Ambitions|Paul Morris (actor)|Mark Burchett||Evil Ambitions Paul Morris (actor) Mark Burchett
25||Leslie William Nielsen|Wendy Wacko||Leslie William Nielsen Wendy Wacko
26|List of Sundance Film Festival award winners||||List of Sundance Film Festival award winners
27|The Sundowners|Peter Alexander Ustinov|Isobel Lennart||The Sundowners Peter Alexander Ustinov Isobel Lennart
28|Minbo|Nobuko Miyamoto|Juzo Itami||Minbo Nobuko Miyamoto Juzo Itami
29|Corpse Bride|Helena Bonham Carter|Caroline Thompson||Corpse Bride Helena Bonham Carter Caroline Thompson
30|Sinbad||Jack Olesker||Sinbad  Jack Olesker
31|Saat Hindustani|Amitabh Bachchan|Khwaja Ahmad Abbas||Saat Hindustani Amitabh Bachchan Khwaja Ahmad Abbas
32||Selma Blair Beitner|Jason Freeland||Selma Blair Beitner Jason Freeland
33|pretty_maids_all_in_a_row|Angeline Brown|Francis Pollini||pretty_maids_all_in_a_row Angeline Brown Francis Pollini
34|House of the Long Shadows|Christopher Frank Carandini Lee|Seven Keys to Baldpate||House of the Long Shadows Christopher Frank Carandini Lee Seven Keys to Baldpate
35||Victoria Principal|John Frederick Milius||Victoria Principal John Frederick Milius
36||Isabelle Yasmine Adjani|Marc Perrier||Isabelle Yasmine Adjani Marc Perrier
37|Escape from Hell|Anthony Steffen Ajita Wilson Cristina Lau Cintia Lodetti|Sergio Chiusi Roberto Estu00E9vez Anthony La Penna Edoardo Mulargia||Escape from Hell Anthony Steffen Ajita Wilson Cristina Lau Cintia Lodetti Sergio Chiusi Roberto Estu00E9vez Anthony La Penna Edoardo Mulargia
38|Claustrophobia|Judith O'Dea|Mark Tapio Kines||Claustrophobia Judith O'Dea Mark Tapio Kines
39|The Trial of Madame X|Mara Russell-Tavernan Paul England|Alexandre Bisson||The Trial of Madame X Mara Russell-Tavernan Paul England Alexandre Bisson
40|Under Two Flags|Rosalind Russell|||Under Two Flags Rosalind Russell
41||Gajala|Pruthvi Raj||Gajala Pruthvi Raj
42|Serial (film)||||Serial (film)
43||Luke Bishop|Kathleen Byrson||Luke Bishop Kathleen Byrson
44|The Time Traveler's Wife|Rachel McAdams|Jeremy Leven||The Time Traveler's Wife Rachel McAdams Jeremy Leven
45||Jerzy Fedorowicz|Krzysztof Kie?lowski||Jerzy Fedorowicz Krzysztof Kie?lowski
46||Teresa Stratas|Alexandre Dumas fils||Teresa Stratas Alexandre Dumas fils
47||Douglas Rushkoff|Fate||Douglas Rushkoff Fate
48|Police Academy 4: Citizens on Patrol|David Graf|Gene Quintano||Police Academy 4: Citizens on Patrol David Graf Gene Quintano
49|8 Heads in a Duffel Bag|Kristy Swanson|Tom Schulman|David Holden|8 Heads in a Duffel Bag Kristy Swanson Tom Schulman David Holden
