id|https://www.scads.de/movieBenchmark/ontology/title|https://www.scads.de/movieBenchmark/ontology/name|http://dbpedia.org/ontology/episodeNumber|http://dbpedia.org/ontology/seasonNumber|http://dbpedia.org/ontology/deathYear|http://dbpedia.org/ontology/birthYear|https://www.scads.de/movieBenchmark/ontology/endYear|https://www.scads.de/movieBenchmark/ontology/startYear|https://www.scads.de/movieBenchmark/ontology/genre_list|https://www.scads.de/movieBenchmark/ontology/primaryProfessions|https://www.scads.de/movieBenchmark/ontology/runtimeMinutes|aggregate value
0||Edmon Ryan|||1984-01-01|1905-01-01||||actor||actor 1984-01-01 1905-01-01 Edmon Ryan
1||Steve Forrest|||2013-01-01|1925-01-01||||actor||actor 2013-01-01 Steve Forrest 1925-01-01
2|Gar ho yuet yuen|||||||2008-01-01|Comedy,Drama||44|Gar ho yuet yuen 44 2008-01-01 Gar ho yuet yuen Comedy,Drama 0
3||Albert Banzon||||||||camera_department,cinematographer,writer||Albert Banzon camera_department,cinematographer,writer
4|Chapter 58||6|5||||2017-01-01|Drama||55|2017-01-01 55 0 Drama 6 Chapter 58 5 Chapter 58
5||George Lopez||||1961-01-01||||producer,actor,writer||George Lopez producer,actor,writer 1961-01-01
6||Wallace Bosco|||1973-01-01|1880-01-01||||actor,writer,producer||actor,writer,producer 1973-01-01 Wallace Bosco 1880-01-01
7|Bonusprogram med extra tester||8|3||||2019-01-01|Comedy|||8 Bonusprogram med extra tester Bonusprogram med extra tester 0 Comedy 2019-01-01 3
8|For God and Country||12|4||||1996-01-01|Crime,Drama,Mystery|||For God and Country 1996-01-01 Crime,Drama,Mystery 0 For God and Country 12 4
9||Benedict Cumberbatch||||1976-01-01||||actor,producer,soundtrack||actor,producer,soundtrack 1976-01-01 Benedict Cumberbatch
10||Genki Yoshimura||||||||writer,actress,director||Genki Yoshimura writer,actress,director
11||Sayid||||||||actor,miscellaneous||Sayid actor,miscellaneous
12||Jeanne Moody||||1931-01-01||||actress||1931-01-01 actress Jeanne Moody
13||Elizabeth Enright||||||||writer||writer Elizabeth Enright
14||Fredrik Svensson||||1990-01-01||||actor||actor 1990-01-01 Fredrik Svensson
15||John Bayliss||||||||actor||John Bayliss actor
16|Poslednyaya zhertva|||||||1976-01-01|Drama,Romance||103|Poslednyaya zhertva 1976-01-01 Poslednyaya zhertva 103 0 Drama,Romance
17|Motherhunt: Part 2||7|2||||2002-01-01|Action,Drama,Mystery|||2 7 0 Action,Drama,Mystery Motherhunt: Part 2 2002-01-01 Motherhunt: Part 2
18||Ryo Ishibashi||||1956-01-01||||actor||actor Ryo Ishibashi 1956-01-01
19|Grudge Match||21|1||||1961-01-01|Adventure,Drama,Family||30|30 1 Grudge Match 0 21 Grudge Match Adventure,Drama,Family 1961-01-01
20||John Vivyan|||1983-01-01|1915-01-01||||actor||John Vivyan actor 1983-01-01 1915-01-01
21||Hellmut Lange|||2011-01-01|1923-01-01||||actor,writer||actor,writer Hellmut Lange 2011-01-01 1923-01-01
22||Joel Schumacher|||2020-01-01|1939-01-01||||director,writer,producer||Joel Schumacher 1939-01-01 2020-01-01 director,writer,producer
23|Circles of Panic||5|7||||1959-01-01|Drama||30|30 0 Drama Circles of Panic 1959-01-01 7 5 Circles of Panic
24||Joseph J. Greene|||1979-01-01|1894-01-01||||actor||actor 1894-01-01 1979-01-01 Joseph J. Greene
25||Paul Quinn||||||||||Paul Quinn
26|The Refinement of 'Ab'||21|2||||1955-01-01|Drama||30|2 30 The Refinement of 'Ab' 0 The Refinement of 'Ab' Drama 21 1955-01-01
27|A Shot in the Dark||4|1||||1993-01-01|Crime,Drama,Mystery|||1 A Shot in the Dark A Shot in the Dark Crime,Drama,Mystery 0 4 1993-01-01
28||H? Xuy?n||||||||actress||H? Xuy?n actress
29||Don Haggerty|||1988-01-01|1914-01-01||||actor,miscellaneous||1988-01-01 actor,miscellaneous Don Haggerty 1914-01-01
30|Point of Entry||21|1||||1963-01-01|Drama,Sport,Western||60|1 Point of Entry Drama,Sport,Western 0 Point of Entry 21 1963-01-01 60
31||Don Megowan|||1981-01-01|1922-01-01||||actor||1922-01-01 actor Don Megowan 1981-01-01
32||Ben Piazza|||1991-01-01|1933-01-01||||actor||actor 1991-01-01 1933-01-01 Ben Piazza
33||Danica Dawn Johnston||||||||actress||Danica Dawn Johnston actress
34||Russell Banks||||1940-01-01||||writer,producer,actor||1940-01-01 Russell Banks writer,producer,actor
35||Abdulkhair Kasymov|||2001-01-01|1907-01-01||||actor||actor 2001-01-01 1907-01-01 Abdulkhair Kasymov
36||Margie Liszt|||1992-01-01|1909-01-01||||actress||1992-01-01 Margie Liszt actress 1909-01-01
37|Thomas Paine||4|2||||2004-01-01|Biography,Comedy,Documentary|||2 2004-01-01 0 Biography,Comedy,Documentary Thomas Paine Thomas Paine 4
38||Richard Yearwood||||1970-01-01||||actor,director,producer||Richard Yearwood actor,director,producer 1970-01-01
39||William Bruckner|||1987-01-01|1915-01-01||||writer,director||William Bruckner writer,director 1915-01-01 1987-01-01
40||Ester Namdar||||||||writer,script_department||writer,script_department Ester Namdar
41|The Shark Affair||2|1||||1962-01-01|Adventure|||1 Adventure 1962-01-01 0 2 The Shark Affair The Shark Affair
42||Boris Blank||||1938-01-01||||production_designer,director,art_director||1938-01-01 production_designer,director,art_director Boris Blank
43||Cheryl Crotser||||||||actress||Cheryl Crotser actress
44||Janet McTeer||||1961-01-01||||actress,writer,producer||Janet McTeer 1961-01-01 actress,writer,producer
45||Collin O'Neal||||||||actor,director,producer||Collin O'Neal actor,director,producer
46||Pamela Dean||||||||actress||actress Pamela Dean
47||Robert J. Hogan|||1963-01-01|1897-01-01||||writer||1963-01-01 writer 1897-01-01 Robert J. Hogan
48||Alec C. Snowden|||1983-01-01|1901-01-01||||producer,director,actor||1983-01-01 1901-01-01 Alec C. Snowden producer,director,actor
49||Ingrid Veninger||||1970-01-01||||actress,producer,writer||actress,producer,writer 1970-01-01 Ingrid Veninger
50||Linda Chung||||1984-01-01||||actress,animation_department,soundtrack||Linda Chung 1984-01-01 actress,animation_department,soundtrack
51||George W. George|||2007-01-01|1920-01-01||||writer,producer,miscellaneous||George W. George writer,producer,miscellaneous 1920-01-01 2007-01-01
52||Stanford Whitmore|||2014-01-01|1925-01-01||||writer||2014-01-01 Stanford Whitmore writer 1925-01-01
53||Alan DeWitt|||1976-01-01|1921-01-01||||actor,miscellaneous,director||1921-01-01 actor,miscellaneous,director 1976-01-01 Alan DeWitt
54|Ede's Bombshell||25|2||||1962-01-01|Adventure,Drama,Family||30|2 30 Ede's Bombshell 1962-01-01 0 Ede's Bombshell Adventure,Drama,Family 25
55||Grit Boettcher||||1938-01-01||||actress,soundtrack||1938-01-01 actress,soundtrack Grit Boettcher
56||Gene Barry|||2009-01-01|1919-01-01||||actor,writer,soundtrack||Gene Barry 2009-01-01 actor,writer,soundtrack 1919-01-01
57||Beverly Hayes||||1940-01-01||||actress,writer,script_department||actress,writer,script_department 1940-01-01 Beverly Hayes
58||Maximilian Schell|||2014-01-01|1930-01-01||||actor,director,writer||Maximilian Schell 2014-01-01 1930-01-01 actor,director,writer
59|Big Little Lie||19|1||||1954-01-01|Drama||30|30 1 1954-01-01 19 Big Little Lie 0 Drama Big Little Lie
60||John Hart|||2009-01-01|1917-01-01||||actor,sound_department,producer||2009-01-01 1917-01-01 actor,sound_department,producer John Hart
61||Jan Merlin|||2019-01-01|1925-01-01||||actor,writer,miscellaneous||2019-01-01 Jan Merlin actor,writer,miscellaneous 1925-01-01
62||Don Edmonds|||2009-01-01|1937-01-01||||actor,producer,director||2009-01-01 actor,producer,director 1937-01-01 Don Edmonds
63||Susan Seaforth Hayes||||1943-01-01||||actress||1943-01-01 actress Susan Seaforth Hayes
64|Sink or Swim||11|2||||1960-01-01|Adventure||48|2 Adventure 1960-01-01 0 Sink or Swim 48 11 Sink or Swim
65|Folge 4||4|1||||1972-01-01|Comedy,War|||1 Comedy,War Folge 4 1972-01-01 0 Folge 4 4
66||Matt Witten||||||||producer,writer,miscellaneous||producer,writer,miscellaneous Matt Witten
67||Ruth Storey|||1997-01-01|1913-01-01||||actress,soundtrack||1997-01-01 actress,soundtrack 1913-01-01 Ruth Storey
68||Michael Elwyn||||1942-01-01||||actor||Michael Elwyn 1942-01-01 actor
69||Doc Hammer||||||||visual_effects,actor,writer||visual_effects,actor,writer Doc Hammer
70||Kirt Struemph||||||||||Kirt Struemph
71||Gaby Stenberg|||2011-01-01|1923-01-01||||actress,soundtrack||Gaby Stenberg 2011-01-01 1923-01-01 actress,soundtrack
72||David Robinson||||||||writer||writer David Robinson
73||Tony Morphett|||2018-01-01|1938-01-01||||writer,producer,script_department||1938-01-01 Tony Morphett writer,producer,script_department 2018-01-01
74||Kevin Carlyon||||||||||Kevin Carlyon
75||Brad Goertz||||||||actor||Brad Goertz actor
76||Frank DeKova|||1981-01-01|1910-01-01||||actor,soundtrack||Frank DeKova 1910-01-01 actor,soundtrack 1981-01-01
77||Daniel Attias||||||||director,producer,assistant_director||director,producer,assistant_director Daniel Attias
78||Johnny Crawford||||1946-01-01||||actor,soundtrack,music_department||1946-01-01 Johnny Crawford actor,soundtrack,music_department
79||Alik Sakharov||||1959-01-01||||cinematographer,director,producer||Alik Sakharov cinematographer,director,producer 1959-01-01
80||Whitfield Connor|||1988-01-01|1916-01-01||||actor||1988-01-01 1916-01-01 actor Whitfield Connor
81|The Mask of Talugi||24|1||||1962-01-01|Adventure|||1 Adventure The Mask of Talugi 1962-01-01 0 24 The Mask of Talugi
82||Tucker Gates||||||||director,producer,miscellaneous||Tucker Gates director,producer,miscellaneous
83|The Hero||6|8||||2011-01-01|Comedy||30|30 The Hero The Hero 2011-01-01 0 8 Comedy 6
84||Ruth Brady|||1997-01-01|1920-01-01||||actress||Ruth Brady actress 1920-01-01 1997-01-01
85||Hugh Corcoran||||1947-01-01||||actor,producer||Hugh Corcoran 1947-01-01 actor,producer
86||Ed Adamson|||1972-01-01|1915-01-01||||writer,producer,script_department||1972-01-01 writer,producer,script_department 1915-01-01 Ed Adamson
87||Ben Cole||||||||cinematographer,camera_department,editor||Ben Cole cinematographer,camera_department,editor
88||June Kenney||||1933-01-01||||actress||1933-01-01 actress June Kenney
89||Mariano Lisa||||||||writer,director,cinematographer||Mariano Lisa writer,director,cinematographer
90||Charles F. Haas|||2011-01-01|1913-01-01||||director,producer,actor||Charles F. Haas director,producer,actor 2011-01-01 1913-01-01
91|Adam San||29|2||||1961-01-01|Adventure||60|2 Adventure Adam San 29 0 Adam San 1961-01-01 60
92|Chapter 18||5|2||||2014-01-01|Drama||50|2 Chapter 18 2014-01-01 0 Drama Chapter 18 5 50
93||John London|||2002-01-01|1912-01-01||||production_manager,producer,miscellaneous||production_manager,producer,miscellaneous 2002-01-01 1912-01-01 John London
94||Jacqueline deWit|||1998-01-01|1912-01-01||||actress||Jacqueline deWit actress 1912-01-01 1998-01-01
95||J. Pat O'Malley|||1985-01-01|1904-01-01||||actor,soundtrack||1985-01-01 actor,soundtrack J. Pat O'Malley 1904-01-01
96||Joe Walker||||||||editor,sound_department,composer||Joe Walker editor,sound_department,composer
97|Episode #2.4||4|2||||1999-01-01|Drama||21|2 21 1999-01-01 Episode #2.4 Episode #2.4 0 Drama 4
98||Dick Balduzzi|||2020-01-01|1928-01-01||||actor,soundtrack,miscellaneous||1928-01-01 2020-01-01 actor,soundtrack,miscellaneous Dick Balduzzi
99||Heinz Klevenow|||1975-01-01|1908-01-01||||actor||Heinz Klevenow actor 1975-01-01 1908-01-01
100|Thanksgiving in Beaver Run||10|1||||1953-01-01|Drama||30|30 1 Thanksgiving in Beaver Run Thanksgiving in Beaver Run 0 Drama 10 1953-01-01
101||Norman Ollestad|||1979-01-01|1935-01-01||||actor||1935-01-01 actor Norman Ollestad 1979-01-01
102||Cloris Leachman|||2021-01-01|1926-01-01||||actress,soundtrack||2021-01-01 1926-01-01 Cloris Leachman actress,soundtrack
103||Merry Anders|||2012-01-01|1934-01-01||||actress,soundtrack||Merry Anders 2012-01-01 actress,soundtrack 1934-01-01
104||Charles G. Martin|||1998-01-01|1912-01-01||||actor||actor 1912-01-01 1998-01-01 Charles G. Martin
105||Guy Lee|||1993-01-01|1927-01-01||||actor||1993-01-01 1927-01-01 actor Guy Lee
106||J?rgen Goslar||||1927-01-01||||director,actor,writer||1927-01-01 director,actor,writer J?rgen Goslar
107||James Bulliard||||1978-01-01||||actor||1978-01-01 actor James Bulliard
108||Sally Blane|||1997-01-01|1910-01-01||||actress,soundtrack||Sally Blane 1910-01-01 1997-01-01 actress,soundtrack
109||Samir||||||||actor||actor Samir
110||Delroy Brown||||||||actor,producer||Delroy Brown actor,producer
111|Rain Shadow||||||2007-01-01|2007-01-01|Drama||60|2007-01-01 Rain Shadow 2007-01-01 0 Rain Shadow Drama 60
