id|https://www.scads.de/movieBenchmark/ontology/title|https://www.scads.de/movieBenchmark/ontology/name|http://dbpedia.org/ontology/abstract|http://dbpedia.org/ontology/episodeNumber|http://dbpedia.org/ontology/seasonNumber|http://dbpedia.org/ontology/numberOfSeasons|http://dbpedia.org/ontology/numberOfEpisodes|http://dbpedia.org/ontology/birthDate|http://dbpedia.org/ontology/releaseDate|https://www.scads.de/movieBenchmark/ontology/last_air_date|https://www.scads.de/movieBenchmark/ontology/release_year|http://dbpedia.org/ontology/runtime|https://www.scads.de/movieBenchmark/ontology/genre_list|https://www.scads.de/movieBenchmark/ontology/origin_country|aggregate value
0||Ola Forssmed|||||||||||||Ola Forssmed 2
1||Rikiya Koyama|||||||||||||2 Rikiya Koyama
2|Hate Crimes||Pembleton and Bayliss investigate a murder that was committed in a gay neighborhood by skinheads and the victim's sexual preference is questioned. Brodie is hired by the department to videotape the detectives' crime scenes. A voice stress analyzer is brought in for a demonstration. Meldrick gets a lead and closes an old Crosetti case that even Howard couldn't crack; it causes a little tension between them.|5|4||||1995-11-17||1995-01-01||||1995-01-01 Hate Crimes 1995-11-17 5 Pembleton and Bayliss investigate a murder that was committed in a gay neighborhood by skinheads and the victim's sexual preference is questioned. Brodie is hired by the department to videotape the detectives' crime scenes. A voice stress analyzer is brought in for a demonstration. Meldrick gets a lead and closes an old Crosetti case that even Howard couldn't crack; it causes a little tension between them. 4
3||William Aldridge|||||||||||||William Aldridge 0
4|Windfall|||20|5||||1958-03-16||1958-01-01||||1958-03-16 20 5 Windfall 1958-01-01
5||John Clive|||||||||||||John Clive 0
6||Kevin Molloy|||||||||||||Kevin Molloy 0
7|Royal Partners: Part 1|||33|4||||1957-05-19||1957-01-01||||1957-01-01 33 Royal Partners: Part 1 4 1957-05-19
8|Hyde and Go Shriek||'Wendell the nerd never wanted any trouble. In fact, he did everything he could to fit in and earn the respect of tough jock Rex Reavis and his friends, including dismissing all their cruel practical jokes with a shrug and a laugh.    |8|1||||1993-11-06||1993-01-01||||1 'Wendell the nerd never wanted any trouble. In fact, he did everything he could to fit in and earn the respect of tough jock Rex Reavis and his friends, including dismissing all their cruel practical jokes with a shrug and a laugh.     1993-11-06 8 1993-01-01 Hyde and Go Shriek
9|Episode 7||A body on the moors leads Janet and Chris to a shocking discovery. While Rachel and Janet harbour concerns about Gill's behaviour, their own actions come under investigation.|7|4||||2014-10-22||2014-01-01||||A body on the moors leads Janet and Chris to a shocking discovery. While Rachel and Janet harbour concerns about Gill's behaviour, their own actions come under investigation. 2014-10-22 7 2014-01-01 4 Episode 7
